Survey: Fri Sep  2 08:58:04 2016
Index 0 ---> lat: 37.9243898468, lon: -91.7729263771, alt: 14.5200929035
Index 1 ---> lat: 37.9246874094, lon: -91.7729206442, alt: 14.5200929035
Index 2 ---> lat: 37.9249849719, lon: -91.7729149113, alt: 14.5200929035
Index 3 ---> lat: 37.9249826793, lon: -91.7726173024, alt: 14.5200929035
Index 4 ---> lat: 37.9246851168, lon: -91.7726230352, alt: 14.5200929035
Index 5 ---> lat: 37.9243875543, lon: -91.7726287681, alt: 14.5200929035
Index 6 ---> lat: 37.9243852617, lon: -91.7723311592, alt: 14.5200929035
Index 7 ---> lat: 37.9246828242, lon: -91.7723254263, alt: 14.5200929035
Index 8 ---> lat: 37.9249803867, lon: -91.7723196934, alt: 14.5200929035
Index 9 ---> lat: 37.9249780941, lon: -91.7720220845, alt: 14.5200929035
Index 10 ---> lat: 37.9246805316, lon: -91.7720278174, alt: 14.5200929035
Index 11 ---> lat: 37.9243829691, lon: -91.7720335503, alt: 14.5200929035
Index 12 ---> lat: 37.9243806765, lon: -91.7717359414, alt: 14.5200929035
Index 13 ---> lat: 37.924678239, lon: -91.7717302085, alt: 14.5200929035
Index 14 ---> lat: 37.9249758015, lon: -91.7717244756, alt: 14.5200929035

###########################################

Survey: Fri Sep  2 09:04:21 2016
Index 0 ---> lat: 37.9243733948, lon: -91.7729344888, alt: 14.5200929035
Index 1 ---> lat: 37.9246709599, lon: -91.772928892, alt: 14.5200929035
Index 2 ---> lat: 37.924968525, lon: -91.7729232951, alt: 14.5200929035
Index 3 ---> lat: 37.9249671783, lon: -91.7726256804, alt: 14.5200929035
Index 4 ---> lat: 37.9246696132, lon: -91.7726312773, alt: 14.5200929035
Index 5 ---> lat: 37.9243720481, lon: -91.7726368741, alt: 14.5200929035
Index 6 ---> lat: 37.9243707015, lon: -91.7723392594, alt: 14.5200929035
Index 7 ---> lat: 37.9246682666, lon: -91.7723336626, alt: 14.5200929035
Index 8 ---> lat: 37.9249658317, lon: -91.7723280657, alt: 14.5200929035
Index 9 ---> lat: 37.924964485, lon: -91.772030451, alt: 14.5200929035
Index 10 ---> lat: 37.9246669199, lon: -91.7720360479, alt: 14.5200929035
Index 11 ---> lat: 37.9243693548, lon: -91.7720416447, alt: 14.5200929035
Index 12 ---> lat: 37.9243680082, lon: -91.7717440301, alt: 14.5200929035
Index 13 ---> lat: 37.9246655733, lon: -91.7717384332, alt: 14.5200929035
Index 14 ---> lat: 37.9249631384, lon: -91.7717328363, alt: 14.5200929035

###########################################

Survey: Fri Sep  2 09:11:09 2016
Index 0 ---> lat: 37.9243333281, lon: -91.7729724294, alt: 10.2672561555
Index 1 ---> lat: 37.9245437741, lon: -91.772971621, alt: 10.2672561555
Index 2 ---> lat: 37.92475422, lon: -91.7729708126, alt: 10.2672561555
Index 3 ---> lat: 37.924964666, lon: -91.7729700041, alt: 10.2672561555
Index 4 ---> lat: 37.9249618419, lon: -91.7727595756, alt: 10.2672561555
Index 5 ---> lat: 37.924751396, lon: -91.772760384, alt: 10.2672561555
Index 6 ---> lat: 37.92454095, lon: -91.7727611924, alt: 10.2672561555
Index 7 ---> lat: 37.924330504, lon: -91.7727620009, alt: 10.2672561555
Index 8 ---> lat: 37.92432768, lon: -91.7725515723, alt: 10.2672561555
Index 9 ---> lat: 37.924538126, lon: -91.7725507639, alt: 10.2672561555
Index 10 ---> lat: 37.9247485719, lon: -91.7725499554, alt: 10.2672561555
Index 11 ---> lat: 37.9249590179, lon: -91.772549147, alt: 10.2672561555
Index 12 ---> lat: 37.9249561939, lon: -91.7723387184, alt: 10.2672561555
Index 13 ---> lat: 37.9247457479, lon: -91.7723395269, alt: 10.2672561555
Index 14 ---> lat: 37.9245353019, lon: -91.7723403353, alt: 10.2672561555
Index 15 ---> lat: 37.924324856, lon: -91.7723411437, alt: 10.2672561555
Index 16 ---> lat: 37.9243220319, lon: -91.7721307152, alt: 10.2672561555
Index 17 ---> lat: 37.9245324779, lon: -91.7721299067, alt: 10.2672561555
Index 18 ---> lat: 37.9247429238, lon: -91.7721290983, alt: 10.2672561555
Index 19 ---> lat: 37.9249533698, lon: -91.7721282898, alt: 10.2672561555
Index 20 ---> lat: 37.9249505458, lon: -91.7719178613, alt: 10.2672561555
Index 21 ---> lat: 37.9247400998, lon: -91.7719186697, alt: 10.2672561555
Index 22 ---> lat: 37.9245296538, lon: -91.7719194782, alt: 10.2672561555
Index 23 ---> lat: 37.9243192079, lon: -91.7719202866, alt: 10.2672561555
Index 24 ---> lat: 37.9243163838, lon: -91.771709858, alt: 10.2672561555
Index 25 ---> lat: 37.9245268298, lon: -91.7717090496, alt: 10.2672561555
Index 26 ---> lat: 37.9247372757, lon: -91.7717082411, alt: 10.2672561555
Index 27 ---> lat: 37.9249477217, lon: -91.7717074327, alt: 10.2672561555

###########################################

Survey: Fri Sep  2 09:14:57 2016
Index 0 ---> lat: 37.9244166044, lon: -91.7730088185, alt: 8.3831795465
Index 1 ---> lat: 37.9245881687, lon: -91.7729992733, alt: 8.3831795465
Index 2 ---> lat: 37.9247597331, lon: -91.7729897281, alt: 8.3831795465
Index 3 ---> lat: 37.9249312974, lon: -91.7729801828, alt: 8.3831795465
Index 4 ---> lat: 37.9249307917, lon: -91.7728083539, alt: 8.3831795465
Index 5 ---> lat: 37.9247592273, lon: -91.7728178991, alt: 8.3831795465
Index 6 ---> lat: 37.924587663, lon: -91.7728274444, alt: 8.3831795465
Index 7 ---> lat: 37.9244160986, lon: -91.7728369896, alt: 8.3831795465
Index 8 ---> lat: 37.9244155928, lon: -91.7726651607, alt: 8.3831795465
Index 9 ---> lat: 37.9245871572, lon: -91.7726556154, alt: 8.3831795465
Index 10 ---> lat: 37.9247587215, lon: -91.7726460702, alt: 8.3831795465
Index 11 ---> lat: 37.9249302859, lon: -91.772636525, alt: 8.3831795465
Index 12 ---> lat: 37.9249297801, lon: -91.772464696, alt: 8.3831795465
Index 13 ---> lat: 37.9247582158, lon: -91.7724742413, alt: 8.3831795465
Index 14 ---> lat: 37.9245866514, lon: -91.7724837865, alt: 8.3831795465
Index 15 ---> lat: 37.9244150871, lon: -91.7724933317, alt: 8.3831795465
Index 16 ---> lat: 37.9244145813, lon: -91.7723215028, alt: 8.3831795465
Index 17 ---> lat: 37.9245861457, lon: -91.7723119576, alt: 8.3831795465
Index 18 ---> lat: 37.92475771, lon: -91.7723024123, alt: 8.3831795465
Index 19 ---> lat: 37.9249292744, lon: -91.7722928671, alt: 8.3831795465
Index 20 ---> lat: 37.9249287686, lon: -91.7721210381, alt: 8.3831795465
Index 21 ---> lat: 37.9247572043, lon: -91.7721305834, alt: 8.3831795465
Index 22 ---> lat: 37.9245856399, lon: -91.7721401286, alt: 8.3831795465
Index 23 ---> lat: 37.9244140756, lon: -91.7721496739, alt: 8.3831795465
Index 24 ---> lat: 37.9244135698, lon: -91.7719778449, alt: 8.3831795465
Index 25 ---> lat: 37.9245851342, lon: -91.7719682997, alt: 8.3831795465
Index 26 ---> lat: 37.9247566985, lon: -91.7719587545, alt: 8.3831795465
Index 27 ---> lat: 37.9249282629, lon: -91.7719492092, alt: 8.3831795465
Index 28 ---> lat: 37.9249277571, lon: -91.7717773803, alt: 8.3831795465
Index 29 ---> lat: 37.9247561928, lon: -91.7717869255, alt: 8.3831795465
Index 30 ---> lat: 37.9245846284, lon: -91.7717964708, alt: 8.3831795465
Index 31 ---> lat: 37.9244130641, lon: -91.771806016, alt: 8.3831795465

###########################################

Survey: Fri Sep  2 09:20:20 2016
Index 0 ---> lat: 37.9244224236, lon: -91.7729957954, alt: 8.3831795465
Index 1 ---> lat: 37.9245942193, lon: -91.7729923818, alt: 8.3831795465
Index 2 ---> lat: 37.9247660151, lon: -91.7729889682, alt: 8.3831795465
Index 3 ---> lat: 37.9249378109, lon: -91.7729855546, alt: 8.3831795465
Index 4 ---> lat: 37.9249360174, lon: -91.7728137343, alt: 8.3831795465
Index 5 ---> lat: 37.9247642216, lon: -91.7728171479, alt: 8.3831795465
Index 6 ---> lat: 37.9245924259, lon: -91.7728205615, alt: 8.3831795465
Index 7 ---> lat: 37.9244206301, lon: -91.7728239751, alt: 8.3831795465
Index 8 ---> lat: 37.9244188366, lon: -91.7726521548, alt: 8.3831795465
Index 9 ---> lat: 37.9245906324, lon: -91.7726487412, alt: 8.3831795465
Index 10 ---> lat: 37.9247624281, lon: -91.7726453275, alt: 8.3831795465
Index 11 ---> lat: 37.9249342239, lon: -91.7726419139, alt: 8.3831795465
Index 12 ---> lat: 37.9249324304, lon: -91.7724700936, alt: 8.3831795465
Index 13 ---> lat: 37.9247606347, lon: -91.7724735072, alt: 8.3831795465
Index 14 ---> lat: 37.9245888389, lon: -91.7724769208, alt: 8.3831795465
