Survey: Fri Aug 26 09:03:41 2016
Index 0 ---> lat: 37.9244816258, lon: -91.772953922, alt: 14.5200929035
Index 1 ---> lat: 37.9247781265, lon: -91.7729281608, alt: 14.5200929035
Index 2 ---> lat: 37.9250746272, lon: -91.7729023996, alt: 14.5200929035
Index 3 ---> lat: 37.9250707648, lon: -91.7726048069, alt: 14.5200929035
Index 4 ---> lat: 37.9247742641, lon: -91.7726305681, alt: 14.5200929035
Index 5 ---> lat: 37.9244777634, lon: -91.7726563293, alt: 14.5200929035
Index 6 ---> lat: 37.924473901, lon: -91.7723587366, alt: 14.5200929035
Index 7 ---> lat: 37.9247704017, lon: -91.7723329754, alt: 14.5200929035
Index 8 ---> lat: 37.9250669024, lon: -91.7723072142, alt: 14.5200929035
Index 9 ---> lat: 37.92506304, lon: -91.7720096216, alt: 14.5200929035
Index 10 ---> lat: 37.9247665393, lon: -91.7720353828, alt: 14.5200929035
Index 11 ---> lat: 37.9244700386, lon: -91.7720611439, alt: 14.5200929035
Index 12 ---> lat: 37.9244661762, lon: -91.7717635513, alt: 14.5200929035
Index 13 ---> lat: 37.9247626769, lon: -91.7717377901, alt: 14.5200929035
Index 14 ---> lat: 37.9250591776, lon: -91.7717120289, alt: 14.5200929035

###########################################

Survey: Fri Aug 26 09:13:51 2016
Index 0 ---> lat: 37.9249827992, lon: -91.7722206191, alt: 7.26004645176
Index 1 ---> lat: 37.9248344051, lon: -91.7722317214, alt: 7.26004645176
Index 2 ---> lat: 37.924686011, lon: -91.7722428237, alt: 7.26004645176
Index 3 ---> lat: 37.9245376168, lon: -91.7722539259, alt: 7.26004645176
Index 4 ---> lat: 37.9243892227, lon: -91.7722650282, alt: 7.26004645176
Index 5 ---> lat: 37.9243855352, lon: -91.772116265, alt: 7.26004645176
Index 6 ---> lat: 37.9245339294, lon: -91.7721051628, alt: 7.26004645176
Index 7 ---> lat: 37.9246823235, lon: -91.7720940605, alt: 7.26004645176
Index 8 ---> lat: 37.9248307176, lon: -91.7720829582, alt: 7.26004645176
Index 9 ---> lat: 37.9249791118, lon: -91.772071856, alt: 7.26004645176
Index 10 ---> lat: 37.9249754243, lon: -91.7719230928, alt: 7.26004645176
Index 11 ---> lat: 37.9248270302, lon: -91.7719341951, alt: 7.26004645176
Index 12 ---> lat: 37.924678636, lon: -91.7719452973, alt: 7.26004645176
Index 13 ---> lat: 37.9245302419, lon: -91.7719563996, alt: 7.26004645176
Index 14 ---> lat: 37.9243818478, lon: -91.7719675019, alt: 7.26004645176
Index 15 ---> lat: 37.9243781603, lon: -91.7718187387, alt: 7.26004645176
Index 16 ---> lat: 37.9245265545, lon: -91.7718076364, alt: 7.26004645176
Index 17 ---> lat: 37.9246749486, lon: -91.7717965341, alt: 7.26004645176
Index 18 ---> lat: 37.9248233427, lon: -91.7717854319, alt: 7.26004645176
Index 19 ---> lat: 37.9249717369, lon: -91.7717743296, alt: 7.26004645176
Index 20 ---> lat: 37.9249680494, lon: -91.7716255664, alt: 7.26004645176
Index 21 ---> lat: 37.9248196553, lon: -91.7716366687, alt: 7.26004645176
Index 22 ---> lat: 37.9246712611, lon: -91.771647771, alt: 7.26004645176
Index 23 ---> lat: 37.924522867, lon: -91.7716588732, alt: 7.26004645176
Index 24 ---> lat: 37.9243744729, lon: -91.7716699755, alt: 7.26004645176

###########################################

